City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Salinopolis,BR,84.61,light rain,-0.61,-47.36,Hotel Salinópolis
357,Sanandaj,IR,82.4,clear sky,35.31,46.99,Sanandaj Tourism Hotel
358,Nouakchott,MR,89.6,clear sky,18.09,-15.98,Hôtel Iman
360,Cortes,ES,87.8,clear sky,41.94,-1.44,Rincon de bu
362,Havelock,US,89.01,clear sky,34.88,-76.9,Sherwood Motel
363,Sorong,ID,79.21,light rain,-0.88,131.25,The Waigo Hotel
364,Keshorai Patan,IN,80.42,overcast clouds,25.3,75.93,Hotel Jamindar Palace
365,Bonao,DO,84.2,broken clouds,18.94,-70.41,POOL CITY HOTEL Bar & Lounge
368,Palauig,PH,81.59,light rain,15.44,119.9,Myhousebythesea
371,Dodge City,US,82.99,clear sky,37.75,-100.02,Windsor Inn & Suites
375,Rabo De Peixe,PT,77.0,few clouds,37.8,-25.58,Quinta das Giestas
383,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
384,Utinga,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
388,Ugoofaaru,MV,83.93,clear sky,5.67,73.0,Ungoofaaru Inn
393,Halifax,CA,75.99,broken clouds,44.65,-63.57,Hotel Halifax
398,Songkhla,TH,78.8,few clouds,6.83,100.67,น.ส ซัลมา สาแม็ง
401,Marshall,US,78.01,broken clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
403,Weligama,LK,79.54,light rain,5.97,80.42,Weligama Bay Resort
404,Mayo,US,82.99,clear sky,38.89,-76.51,Resorts Resource Group International
406,Ajdabiya,LY,83.89,clear sky,30.76,20.23,فندق التوجان
407,Tomohon,ID,78.8,few clouds,1.33,124.84,Gardenia Country Inn
408,Kalaleh,IR,80.6,overcast clouds,37.38,55.49,عطر و ادکلن پارسیس
409,Kirkuk,IQ,85.35,clear sky,35.47,44.39,فندق التأميم
411,Barcelos,PT,75.99,scattered clouds,41.54,-8.62,Hotel Do Terço
413,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
414,Destin,US,82.4,clear sky,30.39,-86.5,Inn On Destin Harbor
418,Lamont,US,88.0,broken clouds,35.26,-118.91,Kristen's place
419,Guerrero Negro,MX,85.71,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
420,Shelburne,CA,84.0,clear sky,44.08,-80.2,The Retreat at the Farm
422,Thanh Hoa,VN,78.67,scattered clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
424,Brockville,CA,78.8,clear sky,44.58,-75.68,Holiday Inn Express & Suites Brockville
427,Libourne,FR,77.0,few clouds,44.92,-0.25,Hôtel Mercure Libourne Saint-Émilion
428,Dingle,PH,76.86,scattered clouds,11.0,122.67,Camp Pasica
429,Bubaque,GW,80.67,broken clouds,11.28,-15.83,Casa Dora
430,Westport,US,87.01,clear sky,41.14,-73.36,The Westport Inn
431,Peniche,PT,78.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
432,Springdale,US,88.0,clear sky,36.19,-94.13,Springdale Inn
436,Ponta Delgada,PT,77.0,few clouds,37.73,-25.67,Vila Nova Hotel
438,Pilar,BR,80.6,broken clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
439,Kimbe,PG,75.24,few clouds,-5.55,150.14,Kimbe Bay Hotel
440,Negombo,LK,82.4,few clouds,7.21,79.84,Hotel Sunset Beach
442,Nagato,JP,82.4,scattered clouds,34.38,131.2,いそう庵
444,Los Alamos,US,82.0,clear sky,35.89,-106.31,Holiday Inn Express & Suites Los Alamos Entrada Park
445,Saint Anthony,US,80.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
454,Oranjestad,AW,86.0,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
456,Delano,US,84.0,haze,35.77,-119.25,Holiday Inn Express Delano Hwy 99
457,Aquiraz,BR,84.2,few clouds,-3.9,-38.39,Hotel Laguna Blu
458,Sur,OM,81.41,overcast clouds,22.57,59.53,Sur Plaza Hotel
459,Broome,US,84.0,scattered clouds,42.25,-75.83,Chenango Valley State Park
462,Makakilo City,US,77.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
465,Itarema,BR,84.29,scattered clouds,-2.92,-39.92,Windvillage
467,Labuhan,ID,78.69,scattered clouds,-6.88,112.21,bador sepret
471,Taman,RU,77.0,scattered clouds,45.21,36.72,Staryy Gorod G. Taman
478,Yinchuan,CN,77.22,light rain,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
479,Lapeer,US,84.0,clear sky,43.05,-83.32,Holiday Inn Express Lapeer
480,Jacqueville,CI,80.6,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
482,Ishigaki,JP,83.64,moderate rain,24.34,124.16,Hotel Peace Land Ishigakijima
483,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
484,Pasco,US,84.99,overcast clouds,28.29,-82.42,Cypress Creek Preserve
486,Timizart,DZ,86.68,few clouds,36.8,4.27,yefssah restaurant
488,Saint-Francois,FR,78.8,scattered clouds,46.42,3.91,Manoir Du Bonheur
490,Atouguia Da Baleia,PT,78.01,clear sky,39.34,-9.33,Hotel Star inn Peniche
491,Guilin,CN,78.8,few clouds,25.28,110.29,Grand 0773 Hotel
493,Port Blair,IN,82.4,overcast clouds,11.67,92.75,Fortune Resort Bay Island
494,Champerico,GT,84.2,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
498,Tual,ID,78.69,clear sky,-5.67,132.75,Grand Vilia Hotel
499,Sinjar,IQ,84.67,clear sky,36.32,41.88,زوماني فون 1
501,Turiacu,BR,84.51,light rain,-1.66,-45.37,Pousada Borges
502,Domoni,KM,75.69,overcast clouds,-12.26,44.53,Loulou
504,Point Fortin,TT,84.99,light rain,10.18,-61.68,Apartment Point Fortin
508,Waspan,NI,87.8,broken clouds,14.74,-83.97,Hostal casa de la rose
510,Midland,US,87.8,clear sky,32.0,-102.08,DoubleTree by Hilton Hotel Midland Plaza
512,Daru,PG,75.76,broken clouds,-9.08,143.21,New century hotel
513,Eirunepe,BR,75.47,broken clouds,-6.66,-69.87,Pousada Novo Acre
514,Luis Correia,BR,85.01,scattered clouds,-2.88,-41.67,Hotel Amarração
515,Dong Hoi,VN,80.33,overcast clouds,17.48,106.6,Nam Long Hotel
518,Kibondo,TZ,76.35,broken clouds,-3.59,30.72,Pongezi Annex Guest House
532,Vanimo,PG,78.62,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
539,El Ejido,ES,84.0,clear sky,36.78,-2.81,Ejidohotel
540,Mutata,CO,86.9,light rain,7.24,-76.44,Hotel Gran Vía Mutatá
543,Gondanglegi,ID,75.47,few clouds,-7.75,112.01,Gg. Munasir Homestay
545,Road Town,VG,80.01,moderate rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
553,Pedasi,PA,77.7,light rain,7.53,-80.03,Selina Pedasi
555,Fomboni,KM,77.43,light rain,-12.28,43.74,Auberge les abou
557,Odessa,UA,80.6,clear sky,46.48,30.73,Londonskaya Hotel
559,Hamilton,US,82.99,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
563,Laguna,US,77.0,few clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
564,Dawlatabad,AF,78.8,clear sky,36.41,64.91,WASIM ASGAR KHAN
569,Bontang,ID,80.74,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
